date,state,actuals.positiveTests,actuals.negativeTests,Positivity rate,ratio_bed,actuals.newCases,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,metrics.testPositivityRatio,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio
2021-06-01,AK,112344,2304521,0.046483358,0.602851324,110,338093,288024,0.012,0.462,0.394
2021-06-02,AK,112396,2309742,0.046403632,0.650089874,36,338229,288123,0.012,0.462,0.394
2021-06-03,AK,112432,2313739,0.046341334,0.658303465,53,339124,289158,0.011,0.464,0.395
2021-06-04,AK,112471,2317813,0.046278953,0.653158522,60,340100,290096,0.011,0.465,0.397
2021-06-05,AK,112485,2320346,0.046236257,0.658928571,0,340957,291308,0.01,0.466,0.398
2021-06-06,AK,112510,2324285,0.046171303,0.640550239,0,341938,292994,0.009,0.467,0.401
2021-06-07,AK,112659,2338406,0.045963285,0.620923913,51,342656,294058,0.009,0.468,0.402
2021-06-08,AK,112755,2355202,0.045687587,0.611788618,0,342912,294324,0.008,0.469,0.402
2021-06-09,AK,112914,2375903,0.045368543,0.612038141,67,343010,294419,0.008,0.469,0.402
2021-06-10,AK,113036,2394112,0.045085492,0.611743559,0,343730,296184,0.007,0.47,0.405
2021-06-11,AK,113217,2414182,0.044795855,0.618791143,61,344459,297192,0.008,0.471,0.406
2021-06-12,AK,113336,2425703,0.044637361,0.634350688,0,345283,298544,0.008,0.472,0.408
2021-06-13,AK,113478,2436797,0.044496378,0.612941881,0,345834,299428,0.009,0.473,0.409
2021-06-14,AK,113675,2458358,0.044196556,0.599592114,67,346459,300450,0.008,0.474,0.411
2021-06-15,AK,113809,2471513,0.044021209,0.643342391,0,346864,301029,0.009,0.474,0.411
2021-06-16,AK,113866,2476647,0.043955,0.650485437,51,347501,301947,0.009,0.475,0.413
2021-06-17,AK,113925,2480390,0.043913326,0.638973732,0,348126,302820,0.01,0.476,0.414
2021-06-18,AK,113980,2483651,0.043878442,0.63853211,102,348668,303696,0.011,0.477,0.415
2021-06-19,AK,113993,2485772,0.043847425,0.628764597,0,349289,304545,0.011,0.477,0.416
2021-06-20,AK,114019,2487682,0.04382479,0.61694291,0,349769,305195,0.011,0.478,0.417
2021-06-21,AK,114068,2492062,0.043769114,0.624566273,87,350345,305948,0.012,0.479,0.418
2021-06-22,AK,114124,2495787,0.043727162,0.644536653,0,350473,306072,0.013,0.479,0.418
2021-06-23,AK,114170,2499242,0.043686185,0.64344005,71,350776,306410,0.013,0.48,0.419
2021-06-24,AK,114212,2502904,0.043640404,0.656483791,0,351550,307246,0.013,0.481,0.42
2021-06-25,AK,114265,2506519,0.043599549,0.642902208,42,352136,307888,0.012,0.481,0.421
2021-06-26,AK,114299,2508584,0.043577621,0.624525917,0,353979,310204,0.013,0.484,0.424
2021-06-27,AK,114330,2510624,0.043555049,0.599367089,0,354711,311317,0.013,0.485,0.426
2021-06-28,AK,114393,2515140,0.043503162,0.484109387,96,355751,312331,0.014,0.486,0.427
2021-06-29,AK,114451,2518961,0.043461107,0.645517241,0,356834,312846,0.014,0.488,0.428
2021-06-30,AK,114514,2522431,0.043426768,0.642553191,88,358311,313709,0.015,0.49,0.429
2021-07-01,AK,114576,2525616,0.043396844,0.637141112,0,358963,314489,0.016,0.491,0.43
2021-07-02,AK,114637,2528642,0.043369239,0.643734644,105,362684,318366,0.017,0.496,0.435
2021-07-03,AK,114684,2530398,0.043357446,0.637477036,0,363378,319083,0.017,0.497,0.436
2021-07-04,AK,114710,2531710,0.04334535,0.628973105,0,364309,320501,0.018,0.498,0.438
2021-07-05,AK,114786,2534735,0.043323303,0.615708275,0,,,0.02,,
2021-07-06,AK,114900,2539071,0.043293615,0.612056738,0,366245,322988,0.022,0.501,0.442
2021-07-07,AK,114990,2542847,0.043264504,0.620198265,212,366305,323060,0.023,0.501,0.442
2021-07-08,AK,115067,2546600,0.043231178,0.630901288,0,366916,323717,0.023,0.502,0.443
2021-07-09,AK,115144,2549786,0.043207139,0.630153846,132,367466,324403,0.023,0.502,0.443
2021-07-10,AK,115200,2551588,0.043198034,0.644254279,0,368156,325118,0.024,0.503,0.444
